Genome,Length (bp),N50,Completeness %,Contamination%,Species representative,MGnify accession
GUT_GENOME018575,2224694,14159,96.64,0.0,GUT_GENOME018575,MGYG-HGUT-00605
GUT_GENOME018576,3291011,232000,94.13,0.63,GUT_GENOME018576,MGYG-HGUT-00606
GUT_GENOME018599,1023795,55745,71.15,0.0,GUT_GENOME018599,MGYG-HGUT-00607
GUT_GENOME018614,2613041,6033,81.39,2.36,GUT_GENOME018614,MGYG-HGUT-00608
GUT_GENOME018655,1535020,12611,80.46,4.2,GUT_GENOME018655,MGYG-HGUT-00609
GUT_GENOME018669,1515472,73578,94.62,0.0,GUT_GENOME018669,MGYG-HGUT-00610
GUT_GENOME018678,2306701,58198,98.2,0.0,GUT_GENOME018678,MGYG-HGUT-00611
GUT_GENOME018684,1970930,10616,90.07,0.0,GUT_GENOME018684,MGYG-HGUT-00612
GUT_GENOME018685,3275009,15766,96.11,4.3,GUT_GENOME018685,MGYG-HGUT-00613
GUT_GENOME018700,1784936,59570,96.51,0.81,GUT_GENOME018700,MGYG-HGUT-00614
GUT_GENOME018753,1737072,56948,88.03,0.0,GUT_GENOME018753,MGYG-HGUT-00615
GUT_GENOME018782,1717164,42616,100.0,0.12,GUT_GENOME018782,MGYG-HGUT-00616
GUT_GENOME018817,1570984,34866,89.63,0.0,GUT_GENOME018817,MGYG-HGUT-00617
GUT_GENOME018819,1703393,8618,81.54,0.0,GUT_GENOME018819,MGYG-HGUT-00618
GUT_GENOME018848,2509514,40456,97.36,0.13,GUT_GENOME018848,MGYG-HGUT-00619
GUT_GENOME018858,2212641,30345,100.0,2.58,GUT_GENOME018858,MGYG-HGUT-00620
GUT_GENOME018882,3027354,33702,97.13,1.55,GUT_GENOME018882,MGYG-HGUT-00621
GUT_GENOME018906,1753240,31617,93.1,0.0,GUT_GENOME018906,MGYG-HGUT-00622
GUT_GENOME018957,3121730,28365,98.75,0.84,GUT_GENOME018957,MGYG-HGUT-00623
GUT_GENOME018964,2427641,18865,94.94,2.66,GUT_GENOME018964,MGYG-HGUT-00624
GUT_GENOME018981,2232283,25385,89.26,0.0,GUT_GENOME018981,MGYG-HGUT-00625
GUT_GENOME018982,2453643,24343,93.3,1.38,GUT_GENOME018982,MGYG-HGUT-00626
GUT_GENOME018983,2305272,11180,93.6,1.23,GUT_GENOME018983,MGYG-HGUT-00627
GUT_GENOME019015,1636358,27158,83.78,0.0,GUT_GENOME019015,MGYG-HGUT-00628
GUT_GENOME019023,1805438,19059,76.79,3.94,GUT_GENOME019023,MGYG-HGUT-00629
GUT_GENOME019034,2325548,19689,89.98,0.0,GUT_GENOME019034,MGYG-HGUT-00630
GUT_GENOME019095,2636006,65767,97.94,0.89,GUT_GENOME019095,MGYG-HGUT-00631
GUT_GENOME019103,2314202,8283,92.05,0.93,GUT_GENOME019103,MGYG-HGUT-00632
GUT_GENOME019121,2845403,77269,91.55,2.03,GUT_GENOME019121,MGYG-HGUT-00633
GUT_GENOME019145,1737692,27328,93.73,1.42,GUT_GENOME019145,MGYG-HGUT-00634
GUT_GENOME019194,2022414,15788,95.86,1.12,GUT_GENOME019194,MGYG-HGUT-00635
GUT_GENOME019200,2454584,65060,97.96,0.0,GUT_GENOME019200,MGYG-HGUT-00636
GUT_GENOME019239,1277650,6565,85.3,1.53,GUT_GENOME019239,MGYG-HGUT-00637
GUT_GENOME019241,2352186,35190,95.64,0.67,GUT_GENOME019241,MGYG-HGUT-00638
GUT_GENOME019292,2201404,10748,96.7,0.0,GUT_GENOME019292,MGYG-HGUT-00639
GUT_GENOME019305,2090947,72606,88.14,0.45,GUT_GENOME019305,MGYG-HGUT-00640
GUT_GENOME019319,2188417,50438,99.19,0.0,GUT_GENOME019319,MGYG-HGUT-00641
GUT_GENOME019327,1644124,148353,99.14,0.0,GUT_GENOME019327,MGYG-HGUT-00642
GUT_GENOME019330,2151853,67164,97.35,0.2,GUT_GENOME019330,MGYG-HGUT-00643
GUT_GENOME019335,3556677,34506,97.65,1.69,GUT_GENOME019335,MGYG-HGUT-00644
GUT_GENOME019343,2128522,25758,98.79,3.23,GUT_GENOME019343,MGYG-HGUT-00645
GUT_GENOME019375,2069247,382146,99.33,0.0,GUT_GENOME019375,MGYG-HGUT-00646
GUT_GENOME019619,2268104,33364,88.81,0.67,GUT_GENOME019619,MGYG-HGUT-00647
GUT_GENOME019818,2024638,56418,99.19,0.81,GUT_GENOME019818,MGYG-HGUT-00648
GUT_GENOME020249,2118072,54667,99.19,0.81,GUT_GENOME020249,MGYG-HGUT-00649
GUT_GENOME020414,2883736,20326,77.15,1.75,GUT_GENOME020414,MGYG-HGUT-00650
GUT_GENOME020571,2239520,13071,93.38,0.0,GUT_GENOME020571,MGYG-HGUT-00651
GUT_GENOME020577,3410500,112691,95.42,0.63,GUT_GENOME020577,MGYG-HGUT-00652
GUT_GENOME020741,2583563,151503,99.62,0.0,GUT_GENOME020741,MGYG-HGUT-00653
GUT_GENOME020782,1448574,28351,97.18,0.81,GUT_GENOME020782,MGYG-HGUT-00654
GUT_GENOME020805,2321148,25547,96.23,0.71,GUT_GENOME020805,MGYG-HGUT-00655
GUT_GENOME020894,1593882,26474,74.1,2.03,GUT_GENOME020894,MGYG-HGUT-00656
GUT_GENOME021289,4450077,9009,82.46,0.0,GUT_GENOME021289,MGYG-HGUT-00657
GUT_GENOME021351,1755704,156200,62.77,0.0,GUT_GENOME021351,MGYG-HGUT-00658
GUT_GENOME021377,1920550,61217,93.35,0.81,GUT_GENOME021377,MGYG-HGUT-00659
GUT_GENOME021430,2038987,16230,92.74,1.81,GUT_GENOME021430,MGYG-HGUT-00660
GUT_GENOME021760,1287314,21719,91.29,4.49,GUT_GENOME021760,MGYG-HGUT-00661
GUT_GENOME021812,1413555,8225,81.27,2.76,GUT_GENOME021812,MGYG-HGUT-00662
GUT_GENOME021831,1768787,27820,88.37,0.67,GUT_GENOME021831,MGYG-HGUT-00663
GUT_GENOME021839,1822500,65723,97.59,0.0,GUT_GENOME021839,MGYG-HGUT-00664
GUT_GENOME021899,1021727,10660,65.41,2.61,GUT_GENOME021899,MGYG-HGUT-00665
GUT_GENOME021955,4523435,14567,91.93,2.36,GUT_GENOME021955,MGYG-HGUT-00666
GUT_GENOME022007,2502097,144111,99.06,0.38,GUT_GENOME022007,MGYG-HGUT-00667
GUT_GENOME022136,2648761,67564,98.16,0.0,GUT_GENOME022136,MGYG-HGUT-00668
GUT_GENOME022180,2227584,237984,97.09,0.0,GUT_GENOME022180,MGYG-HGUT-00669
GUT_GENOME022295,2790604,45393,99.06,0.0,GUT_GENOME022295,MGYG-HGUT-00670
GUT_GENOME022350,2416932,42197,98.42,0.0,GUT_GENOME022350,MGYG-HGUT-00671
GUT_GENOME022392,2733599,121082,96.75,0.63,GUT_GENOME022392,MGYG-HGUT-00672
GUT_GENOME022440,2306526,66846,91.13,1.13,GUT_GENOME022440,MGYG-HGUT-00673
GUT_GENOME022451,2404419,7979,91.3,2.01,GUT_GENOME022451,MGYG-HGUT-00674
GUT_GENOME022484,5782172,39106,76.21,1.72,GUT_GENOME022484,MGYG-HGUT-00675
GUT_GENOME022501,2188584,28810,92.34,0.05,GUT_GENOME022501,MGYG-HGUT-00676
GUT_GENOME022512,2015211,11752,95.4,0.2,GUT_GENOME022512,MGYG-HGUT-00677
GUT_GENOME022794,2629642,55818,97.71,0.38,GUT_GENOME022794,MGYG-HGUT-00678
GUT_GENOME022820,1043255,27786,80.51,0.4,GUT_GENOME022820,MGYG-HGUT-00679
GUT_GENOME022845,2323759,5906,69.77,2.87,GUT_GENOME022845,MGYG-HGUT-00680
GUT_GENOME022861,1472277,4499,72.16,3.55,GUT_GENOME022861,MGYG-HGUT-00681
GUT_GENOME022890,2426258,44642,91.16,0.19,GUT_GENOME022890,MGYG-HGUT-00682
GUT_GENOME022908,2086024,519539,80.97,0.79,GUT_GENOME022908,MGYG-HGUT-00683
GUT_GENOME023192,2175265,25340,96.37,1.61,GUT_GENOME023192,MGYG-HGUT-00684
GUT_GENOME023366,2863940,42793,99.33,0.0,GUT_GENOME023366,MGYG-HGUT-00685
GUT_GENOME023482,1824593,64309,97.75,0.0,GUT_GENOME023482,MGYG-HGUT-00686
GUT_GENOME023484,2211452,13520,92.69,1.57,GUT_GENOME023484,MGYG-HGUT-00687
GUT_GENOME023561,1353298,3529,55.0,0.81,GUT_GENOME023561,MGYG-HGUT-00688
GUT_GENOME023569,1802380,13943,85.12,0.0,GUT_GENOME023569,MGYG-HGUT-00689
GUT_GENOME023591,2764780,37980,99.33,0.0,GUT_GENOME023591,MGYG-HGUT-00690
GUT_GENOME023635,1993212,16864,88.26,4.85,GUT_GENOME023635,MGYG-HGUT-00691
GUT_GENOME023798,2730358,22668,97.92,0.0,GUT_GENOME023798,MGYG-HGUT-00692
GUT_GENOME023942,2022975,36674,98.39,0.81,GUT_GENOME023942,MGYG-HGUT-00693
GUT_GENOME023976,2080543,27428,99.19,1.61,GUT_GENOME023976,MGYG-HGUT-00694
GUT_GENOME024079,3484843,74733,98.14,0.56,GUT_GENOME024079,MGYG-HGUT-00695
GUT_GENOME024263,3184747,69908,99.62,0.77,GUT_GENOME024263,MGYG-HGUT-00696
GUT_GENOME024279,2001330,3915,75.11,3.69,GUT_GENOME024279,MGYG-HGUT-00697
GUT_GENOME024283,1742225,25064,91.53,0.81,GUT_GENOME024283,MGYG-HGUT-00698
GUT_GENOME024450,1671307,4968,74.76,4.13,GUT_GENOME024450,MGYG-HGUT-00699
GUT_GENOME024514,2636252,34305,94.94,0.0,GUT_GENOME024514,MGYG-HGUT-00700
GUT_GENOME024527,3061545,62090,97.97,0.74,GUT_GENOME024527,MGYG-HGUT-00701
GUT_GENOME024536,1965317,6920,85.22,2.02,GUT_GENOME024536,MGYG-HGUT-00702
GUT_GENOME024543,2495318,81175,93.62,0.67,GUT_GENOME024543,MGYG-HGUT-00703
GUT_GENOME024564,1970599,121629,92.62,0.67,GUT_GENOME024564,MGYG-HGUT-00704
GUT_GENOME024688,1649544,465986,85.46,0.0,GUT_GENOME024688,MGYG-HGUT-00705
GUT_GENOME024712,2490616,108707,94.41,0.67,GUT_GENOME024712,MGYG-HGUT-00706
GUT_GENOME024743,3151200,48192,95.57,0.0,GUT_GENOME024743,MGYG-HGUT-00707
GUT_GENOME024772,1500808,5296,81.18,1.8,GUT_GENOME024772,MGYG-HGUT-00708
GUT_GENOME024810,1364323,3102,55.89,0.38,GUT_GENOME024810,MGYG-HGUT-00709
GUT_GENOME024836,2205840,20054,91.72,0.67,GUT_GENOME024836,MGYG-HGUT-00710
GUT_GENOME024845,1966926,5171,79.49,2.13,GUT_GENOME024845,MGYG-HGUT-00711
GUT_GENOME024905,2138816,14067,100.0,0.0,GUT_GENOME024905,MGYG-HGUT-00712
GUT_GENOME024968,1787047,5435,74.84,0.34,GUT_GENOME024968,MGYG-HGUT-00713
GUT_GENOME025243,1374960,78878,93.82,1.69,GUT_GENOME025243,MGYG-HGUT-00714
GUT_GENOME025308,2198914,113137,93.06,0.0,GUT_GENOME025308,MGYG-HGUT-00715
GUT_GENOME025412,2039168,31067,97.29,0.81,GUT_GENOME025412,MGYG-HGUT-00716
GUT_GENOME025525,1934275,42116,98.75,1.25,GUT_GENOME025525,MGYG-HGUT-00717
GUT_GENOME025577,1975049,121470,96.5,0.0,GUT_GENOME025577,MGYG-HGUT-00718
GUT_GENOME025591,1825952,54953,89.26,0.0,GUT_GENOME025591,MGYG-HGUT-00719
GUT_GENOME025611,3759035,44437,93.24,2.07,GUT_GENOME025611,MGYG-HGUT-00720
GUT_GENOME025619,2405891,92493,92.62,0.22,GUT_GENOME025619,MGYG-HGUT-00721
GUT_GENOME025653,2915024,59633,91.98,0.0,GUT_GENOME025653,MGYG-HGUT-00722
GUT_GENOME025676,2208348,1296942,97.27,0.0,GUT_GENOME025676,MGYG-HGUT-00723
GUT_GENOME025678,1919940,9928,69.43,0.0,GUT_GENOME025678,MGYG-HGUT-00724
GUT_GENOME025761,2192750,30773,99.37,0.0,GUT_GENOME025761,MGYG-HGUT-00725
GUT_GENOME025881,1857870,283089,97.32,0.0,GUT_GENOME025881,MGYG-HGUT-00726
GUT_GENOME025984,2530364,48944,88.98,0.0,GUT_GENOME025984,MGYG-HGUT-00727
GUT_GENOME025996,1947591,13996,95.84,1.05,GUT_GENOME025996,MGYG-HGUT-00728
GUT_GENOME026008,1856951,118419,90.94,0.0,GUT_GENOME026008,MGYG-HGUT-00729
GUT_GENOME026012,2096902,133578,99.19,0.0,GUT_GENOME026012,MGYG-HGUT-00730
GUT_GENOME026064,1796272,7290,83.29,0.0,GUT_GENOME026064,MGYG-HGUT-00731
GUT_GENOME026080,1710353,191876,79.46,0.67,GUT_GENOME026080,MGYG-HGUT-00732
GUT_GENOME026180,1893651,31965,79.89,0.0,GUT_GENOME026180,MGYG-HGUT-00733
GUT_GENOME026187,2140620,72083,93.95,1.61,GUT_GENOME026187,MGYG-HGUT-00734
GUT_GENOME026217,2273680,19555,84.53,1.81,GUT_GENOME026217,MGYG-HGUT-00735
GUT_GENOME026228,1883440,43342,89.93,0.0,GUT_GENOME026228,MGYG-HGUT-00736
GUT_GENOME026269,1638367,5254,72.23,0.08,GUT_GENOME026269,MGYG-HGUT-00737
GUT_GENOME026334,934493,3852,59.61,0.34,GUT_GENOME026334,MGYG-HGUT-00738
GUT_GENOME026466,2046079,13505,96.67,1.68,GUT_GENOME026466,MGYG-HGUT-00739
GUT_GENOME026473,2359825,47773,95.27,0.68,GUT_GENOME026473,MGYG-HGUT-00740
GUT_GENOME026639,2390173,84291,95.97,1.34,GUT_GENOME026639,MGYG-HGUT-00741
GUT_GENOME026646,2345274,30818,99.37,0.0,GUT_GENOME026646,MGYG-HGUT-00742
GUT_GENOME026702,2477350,104237,99.11,0.0,GUT_GENOME026702,MGYG-HGUT-00743
GUT_GENOME026716,1909099,17226,92.67,0.81,GUT_GENOME026716,MGYG-HGUT-00744
GUT_GENOME026742,2615728,45388,93.55,0.37,GUT_GENOME026742,MGYG-HGUT-00745
GUT_GENOME026750,2046986,73376,91.61,0.0,GUT_GENOME026750,MGYG-HGUT-00746
GUT_GENOME026754,2418810,14029,90.47,3.57,GUT_GENOME026754,MGYG-HGUT-00747
GUT_GENOME026764,1946382,28545,90.71,0.0,GUT_GENOME026764,MGYG-HGUT-00748
GUT_GENOME026773,1250048,5757,77.95,0.93,GUT_GENOME026773,MGYG-HGUT-00749
GUT_GENOME026784,1783127,24507,82.77,0.0,GUT_GENOME026784,MGYG-HGUT-00750
GUT_GENOME026810,1147622,18357,90.45,2.25,GUT_GENOME026810,MGYG-HGUT-00751
GUT_GENOME026811,2697118,41863,93.65,0.67,GUT_GENOME026811,MGYG-HGUT-00752
GUT_GENOME026837,1854497,115716,93.29,0.0,GUT_GENOME026837,MGYG-HGUT-00753
GUT_GENOME027270,1511164,4921,79.91,1.72,GUT_GENOME027270,MGYG-HGUT-00754
GUT_GENOME027278,1680879,184043,98.46,0.12,GUT_GENOME027278,MGYG-HGUT-00755
GUT_GENOME027286,1963853,57952,98.96,0.15,GUT_GENOME027286,MGYG-HGUT-00756
GUT_GENOME027297,982783,9747,71.03,0.67,GUT_GENOME027297,MGYG-HGUT-00757
GUT_GENOME027298,1223939,29144,53.34,0.42,GUT_GENOME027298,MGYG-HGUT-00758
GUT_GENOME027303,1836417,4520,77.97,1.97,GUT_GENOME027303,MGYG-HGUT-00759
GUT_GENOME027309,2818339,132575,99.29,0.0,GUT_GENOME027309,MGYG-HGUT-00760
GUT_GENOME027317,1541164,7136,85.7,0.24,GUT_GENOME027317,MGYG-HGUT-00761
GUT_GENOME027326,1520675,45432,54.84,0.34,GUT_GENOME027326,MGYG-HGUT-00762
GUT_GENOME027331,1466466,6883,54.23,0.78,GUT_GENOME027331,MGYG-HGUT-00763
GUT_GENOME027334,1992577,127506,97.33,0.31,GUT_GENOME027334,MGYG-HGUT-00764
GUT_GENOME027390,2007181,65669,96.32,0.63,GUT_GENOME027390,MGYG-HGUT-00765
GUT_GENOME027393,1523934,98266,98.25,0.0,GUT_GENOME027393,MGYG-HGUT-00766
GUT_GENOME027519,2269129,11333,78.17,4.44,GUT_GENOME027519,MGYG-HGUT-00767
GUT_GENOME027533,2207911,117358,97.58,0.81,GUT_GENOME027533,MGYG-HGUT-00768
GUT_GENOME027572,2100050,75698,99.19,1.61,GUT_GENOME027572,MGYG-HGUT-00769
GUT_GENOME027582,2217348,361084,100.0,1.61,GUT_GENOME027582,MGYG-HGUT-00770
GUT_GENOME027596,1762765,6339,86.78,1.35,GUT_GENOME027596,MGYG-HGUT-00771
GUT_GENOME027665,2044239,94556,99.19,0.81,GUT_GENOME027665,MGYG-HGUT-00772
GUT_GENOME027748,2056602,55616,97.14,0.0,GUT_GENOME027748,MGYG-HGUT-00773
GUT_GENOME027824,3366873,40833,98.73,1.27,GUT_GENOME027824,MGYG-HGUT-00774
GUT_GENOME027831,1891758,20677,89.44,2.61,GUT_GENOME027831,MGYG-HGUT-00775
GUT_GENOME027890,1658978,8434,83.8,1.9,GUT_GENOME027890,MGYG-HGUT-00776
GUT_GENOME027928,2148033,105326,100.0,1.61,GUT_GENOME027928,MGYG-HGUT-00777
GUT_GENOME028003,2085046,151508,99.19,0.81,GUT_GENOME028003,MGYG-HGUT-00778
GUT_GENOME028802,2667664,19289,96.28,0.67,GUT_GENOME028802,MGYG-HGUT-00779
GUT_GENOME029137,2105610,57334,97.85,0.81,GUT_GENOME029137,MGYG-HGUT-00780
GUT_GENOME029301,3237958,65583,96.48,0.19,GUT_GENOME029301,MGYG-HGUT-00781
GUT_GENOME029304,1798867,118696,99.4,0.9,GUT_GENOME029304,MGYG-HGUT-00782
GUT_GENOME029599,2145785,116452,97.21,1.5,GUT_GENOME029599,MGYG-HGUT-00783
GUT_GENOME029635,1269692,70781,100.0,0.12,GUT_GENOME029635,MGYG-HGUT-00784
GUT_GENOME029683,1185697,13989,70.69,1.72,GUT_GENOME029683,MGYG-HGUT-00785
GUT_GENOME029780,1748688,16228,85.19,2.63,GUT_GENOME029780,MGYG-HGUT-00786
GUT_GENOME029840,2086603,19256,96.99,0.12,GUT_GENOME029840,MGYG-HGUT-00787
GUT_GENOME029877,2895183,46861,90.44,1.38,GUT_GENOME029877,MGYG-HGUT-00788
GUT_GENOME030016,2053989,36051,98.39,0.81,GUT_GENOME030016,MGYG-HGUT-00789
GUT_GENOME030277,2081813,6041,92.7,0.0,GUT_GENOME030277,MGYG-HGUT-00790
GUT_GENOME030812,1608604,45128,81.88,1.17,GUT_GENOME030812,MGYG-HGUT-00791
GUT_GENOME031326,1373170,62200,97.16,0.0,GUT_GENOME031326,MGYG-HGUT-00792
GUT_GENOME031380,1894833,7661,84.24,0.0,GUT_GENOME031380,MGYG-HGUT-00793
GUT_GENOME031419,2368186,12607,72.81,1.75,GUT_GENOME031419,MGYG-HGUT-00794
GUT_GENOME031710,1972498,17310,87.56,1.61,GUT_GENOME031710,MGYG-HGUT-00795
GUT_GENOME031782,2621918,85695,98.12,0.0,GUT_GENOME031782,MGYG-HGUT-00796
GUT_GENOME031806,2093052,20645,95.97,0.95,GUT_GENOME031806,MGYG-HGUT-00797
GUT_GENOME031916,2225766,33358,97.58,0.81,GUT_GENOME031916,MGYG-HGUT-00798
GUT_GENOME032358,802735,116755,56.9,0.0,GUT_GENOME032358,MGYG-HGUT-00799
GUT_GENOME032405,1514512,4333,67.88,1.12,GUT_GENOME032405,MGYG-HGUT-00800
GUT_GENOME032415,2156276,58109,98.39,0.81,GUT_GENOME032415,MGYG-HGUT-00801
GUT_GENOME032561,2225126,96606,100.0,0.81,GUT_GENOME032561,MGYG-HGUT-00802
GUT_GENOME032633,542109,404062,97.31,1.15,GUT_GENOME032633,MGYG-HGUT-00803
GUT_GENOME032708,1086892,208800,63.98,0.31,GUT_GENOME032708,MGYG-HGUT-00804
GUT_GENOME032757,2084829,25965,95.97,1.61,GUT_GENOME032757,MGYG-HGUT-00805
GUT_GENOME032966,2686211,26894,95.85,0.0,GUT_GENOME032966,MGYG-HGUT-00806
GUT_GENOME033115,2221047,97586,98.59,3.52,GUT_GENOME033115,MGYG-HGUT-00807
GUT_GENOME033131,1884951,6878,64.67,2.01,GUT_GENOME033131,MGYG-HGUT-00808
GUT_GENOME033290,2343519,111174,90.94,2.01,GUT_GENOME033290,MGYG-HGUT-00809
GUT_GENOME033647,2278510,88683,95.5,0.62,GUT_GENOME033647,MGYG-HGUT-00810
GUT_GENOME033705,2115809,159007,94.35,0.81,GUT_GENOME033705,MGYG-HGUT-00811
GUT_GENOME033839,1921914,122711,85.48,0.81,GUT_GENOME033839,MGYG-HGUT-00812
GUT_GENOME033875,1978596,464336,88.89,1.28,GUT_GENOME033875,MGYG-HGUT-00813
GUT_GENOME034170,1710044,22117,87.44,0.0,GUT_GENOME034170,MGYG-HGUT-00814
GUT_GENOME034178,4510901,390858,100.0,0.0,GUT_GENOME034178,MGYG-HGUT-00815
GUT_GENOME034183,2295711,4728,72.21,0.81,GUT_GENOME034183,MGYG-HGUT-00816
GUT_GENOME034317,2136964,22787,96.23,0.0,GUT_GENOME034317,MGYG-HGUT-00817
GUT_GENOME034386,1248586,5088,66.95,2.94,GUT_GENOME034386,MGYG-HGUT-00818
GUT_GENOME034446,1738383,36896,64.92,1.22,GUT_GENOME034446,MGYG-HGUT-00819
GUT_GENOME034674,2712076,124370,96.31,0.0,GUT_GENOME034674,MGYG-HGUT-00820
GUT_GENOME034763,2141919,30715,95.8,0.0,GUT_GENOME034763,MGYG-HGUT-00821
GUT_GENOME034932,2370791,54497,96.34,0.79,GUT_GENOME034932,MGYG-HGUT-00822
GUT_GENOME034955,2131500,45818,89.12,1.92,GUT_GENOME034955,MGYG-HGUT-00823
GUT_GENOME034957,2120674,12785,81.99,1.67,GUT_GENOME034957,MGYG-HGUT-00824
GUT_GENOME034989,2700478,102045,96.98,1.07,GUT_GENOME034989,MGYG-HGUT-00825
GUT_GENOME035196,2075639,28198,92.28,2.62,GUT_GENOME035196,MGYG-HGUT-00826
GUT_GENOME035389,2287148,104496,99.19,1.61,GUT_GENOME035389,MGYG-HGUT-00827
GUT_GENOME035511,1512681,125469,61.4,1.75,GUT_GENOME035511,MGYG-HGUT-00828
GUT_GENOME035512,2305677,36225,99.19,0.81,GUT_GENOME035512,MGYG-HGUT-00829
GUT_GENOME035519,2260107,41764,99.91,2.42,GUT_GENOME035519,MGYG-HGUT-00830
GUT_GENOME035741,2510351,25893,79.31,1.72,GUT_GENOME035741,MGYG-HGUT-00831
GUT_GENOME035750,2218408,88905,99.19,0.81,GUT_GENOME035750,MGYG-HGUT-00832
GUT_GENOME035792,2326911,110825,99.19,0.81,GUT_GENOME035792,MGYG-HGUT-00833
GUT_GENOME035872,1945832,13841,85.55,1.4,GUT_GENOME035872,MGYG-HGUT-00834
GUT_GENOME035907,2188673,32815,96.45,4.23,GUT_GENOME035907,MGYG-HGUT-00835
GUT_GENOME036292,1764500,102818,93.35,0.81,GUT_GENOME036292,MGYG-HGUT-00836
GUT_GENOME036500,2171635,23331,93.66,0.34,GUT_GENOME036500,MGYG-HGUT-00837
GUT_GENOME036651,1767761,6663,71.53,3.83,GUT_GENOME036651,MGYG-HGUT-00838
GUT_GENOME036763,2735655,72388,96.77,0.0,GUT_GENOME036763,MGYG-HGUT-00839
GUT_GENOME036853,2579152,82348,97.52,0.16,GUT_GENOME036853,MGYG-HGUT-00840
GUT_GENOME036899,2174241,99567,96.64,1.01,GUT_GENOME036899,MGYG-HGUT-00841
GUT_GENOME037069,1846287,103923,100.0,0.81,GUT_GENOME037069,MGYG-HGUT-00842
GUT_GENOME037207,2470970,101458,98.95,0.52,GUT_GENOME037207,MGYG-HGUT-00843
GUT_GENOME037223,1387413,4590,72.68,0.96,GUT_GENOME037223,MGYG-HGUT-00844
GUT_GENOME037249,2267424,87038,100.0,1.61,GUT_GENOME037249,MGYG-HGUT-00845
GUT_GENOME037311,2190850,77604,99.19,0.81,GUT_GENOME037311,MGYG-HGUT-00846
GUT_GENOME037425,2084328,39730,100.0,0.0,GUT_GENOME037425,MGYG-HGUT-00847
GUT_GENOME037499,1121247,5378,60.86,0.0,GUT_GENOME037499,MGYG-HGUT-00848
GUT_GENOME037509,1549804,28746,62.88,1.02,GUT_GENOME037509,MGYG-HGUT-00849
GUT_GENOME037519,1767218,190474,98.02,1.25,GUT_GENOME037519,MGYG-HGUT-00850
GUT_GENOME037555,2227060,8663,88.21,2.89,GUT_GENOME037555,MGYG-HGUT-00851
GUT_GENOME037775,2918004,87391,94.81,0.94,GUT_GENOME037775,MGYG-HGUT-00852
GUT_GENOME037804,3157276,20506,90.78,1.6,GUT_GENOME037804,MGYG-HGUT-00853
GUT_GENOME037806,2733305,70074,88.4,0.74,GUT_GENOME037806,MGYG-HGUT-00854
GUT_GENOME037885,2256268,71799,100.0,0.81,GUT_GENOME037885,MGYG-HGUT-00855
GUT_GENOME037977,2096757,35055,99.19,1.28,GUT_GENOME037977,MGYG-HGUT-00856
GUT_GENOME038048,1764654,74900,75.21,0.45,GUT_GENOME038048,MGYG-HGUT-00857
GUT_GENOME038182,2197901,87895,98.66,0.81,GUT_GENOME038182,MGYG-HGUT-00858
GUT_GENOME038202,2911374,54093,91.91,0.63,GUT_GENOME038202,MGYG-HGUT-00859
GUT_GENOME038289,1828071,10314,93.87,1.21,GUT_GENOME038289,MGYG-HGUT-00860
GUT_GENOME038331,2145101,34800,87.83,0.81,GUT_GENOME038331,MGYG-HGUT-00861
GUT_GENOME038356,2326547,102401,100.0,1.61,GUT_GENOME038356,MGYG-HGUT-00862
GUT_GENOME039172,2015892,106139,95.27,1.69,GUT_GENOME039172,MGYG-HGUT-00863
GUT_GENOME039567,2413963,117910,99.33,0.17,GUT_GENOME039567,MGYG-HGUT-00864
GUT_GENOME039656,1614838,5991,75.61,1.69,GUT_GENOME039656,MGYG-HGUT-00865
GUT_GENOME039867,1503128,27060,56.69,0.0,GUT_GENOME039867,MGYG-HGUT-00866
GUT_GENOME040022,1874565,71851,93.62,0.0,GUT_GENOME040022,MGYG-HGUT-00867
GUT_GENOME040261,1947873,13723,96.17,0.88,GUT_GENOME040261,MGYG-HGUT-00868
GUT_GENOME040321,768550,12174,84.49,1.12,GUT_GENOME040321,MGYG-HGUT-00869
GUT_GENOME040420,3134704,162350,97.96,0.0,GUT_GENOME040420,MGYG-HGUT-00870
GUT_GENOME040960,2411278,16805,88.53,1.22,GUT_GENOME040960,MGYG-HGUT-00871
GUT_GENOME041343,2772884,80289,98.75,0.38,GUT_GENOME041343,MGYG-HGUT-00872
GUT_GENOME041780,2049752,33763,99.92,0.47,GUT_GENOME041780,MGYG-HGUT-00873
GUT_GENOME041818,1307174,104522,74.91,0.0,GUT_GENOME041818,MGYG-HGUT-00874
GUT_GENOME041878,1875451,31092,96.61,0.81,GUT_GENOME041878,MGYG-HGUT-00875
GUT_GENOME042029,1718013,3736,69.1,3.71,GUT_GENOME042029,MGYG-HGUT-00876
GUT_GENOME042389,2052192,108457,93.96,0.73,GUT_GENOME042389,MGYG-HGUT-00877
GUT_GENOME042491,2047179,27741,97.58,0.81,GUT_GENOME042491,MGYG-HGUT-00878
GUT_GENOME042573,2269825,41673,99.19,0.81,GUT_GENOME042573,MGYG-HGUT-00879
GUT_GENOME042972,1799935,6669,82.26,4.03,GUT_GENOME042972,MGYG-HGUT-00880
GUT_GENOME043156,2142946,19053,96.1,1.04,GUT_GENOME043156,MGYG-HGUT-00881
GUT_GENOME043611,1578137,6440,76.16,2.15,GUT_GENOME043611,MGYG-HGUT-00882
GUT_GENOME043892,1720775,19644,77.3,3.36,GUT_GENOME043892,MGYG-HGUT-00883
